,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
35595,wake up the dead!,160050,Count Emily,2024-01-10,8:26:11 PM,Rufus Wainwright,Harvest (feat. Andrew Bird & Chris Stills),Harvest (feat. Andrew Bird & Chris Stills),0,0,Folk,BMG Rights Management (US) LLC,4050538848847,0,0,0.481,0.244,0.244,-8.184,1.0,0.0287,0.693,2.14e-06,0.0898,0.5,89.136,183227.0
35596,wake up the dead!,160050,Count Emily,2024-01-10,8:29:11 PM,Jack White,A Tip from You to Me,Entering Heaven Alive,0,0,Rock,"2022 Third Man Records, LLC",810074421287,1,0,0.5,0.776,0.776,-6.093,0.0,0.0371,0.159,0.000583,0.0921,0.512,152.047,162858.0
35597,wake up the dead!,160050,Count Emily,2024-01-10,8:32:02 PM,Sophie Raskin,Leave me Lone,Leave me Lone,0,0,R&B/Soul,Allegheny Records,198053600411,0,0,,,,,,,,,,,,
35598,wake up the dead!,160050,Count Emily,2024-01-10,8:35:03 PM,Durand Jones,That Feeling,That Feeling,0,0,R&B/Soul,MERLIN - Dead Oceans,656605158099,0,0,,,,,,,,,,,,
35599,wake up the dead!,160050,Count Emily,2024-01-10,8:39:26 PM,Leon Lee Dorsey,Barbara,Cantaloupe Island,0,0,Jazz,Jazz Avenue 1,195269216177,0,0,,,,,,,,,,,,
35600,wake up the dead!,160050,Count Emily,2024-01-10,8:44:23 PM,Eric Dolphy,Moods In Free Time - Take 5,Candid Dolphy,0,0,Jazz,ORCHARD - Candid Productions,708857903320,0,0,0.29,0.105,0.105,-18.533,1.0,0.037,0.944,0.805,0.0722,0.219,61.803,339813.0
35601,wake up the dead!,160050,Count Emily,2024-01-10,8:50:00 PM,The Allergies,Mash Up the Sound,Mash Up the Sound,0,0,,MERLIN - Jalapeno Records,3663729235824,0,0,0.591,0.904,0.904,-6.107,0.0,0.0298,2.04e-05,0.45,0.411,0.763,121.985,214852.0
35602,wake up the dead!,160050,Count Emily,2024-01-10,8:53:34 PM,Lillian Leadbetter,Not in the Mood for Heartbreak,State of Romance,0,0,Folk,DISTROKID,198053946656,0,0,0.477,0.222,0.222,-12.195,1.0,0.028,0.891,0.142,0.0932,0.242,143.76,275910.0
35603,wake up the dead!,160050,Count Emily,2024-01-10,8:59:18 PM,Scone Cash Players,Brooklyn to Brooklin,Brooklyn to Brooklin,0,0,R&B/Soul,MERLIN - Daptone Records,634457109896,0,0,0.548,0.647,0.647,-11.119,1.0,0.041,0.111,0.716,0.324,0.947,120.761,274027.0
35604,wake up the dead!,160050,Count Emily,2024-01-10,9:03:49 PM,Jack Johnson,One Step Ahead,One Step Ahead,0,0,Rock,UMG - Jack Johnson 2022,00602445753901,1,0,0.716,0.614,0.614,-8.467,1.0,0.105,0.566,0.00323,0.104,0.689,164.051,191648.0
35605,wake up the dead!,160050,Count Emily,2024-01-10,9:06:58 PM,Joel Goodman,What Dreamers Dream,An Exquisite Moment,0,0,,A64 Records,617831939036,0,0,,,,,,,,,,,,
35606,wake up the dead!,160050,Count Emily,2024-01-10,9:20:26 PM,Feist,In Lightning,Multitudes,0,0,,Universal Music Division Polydor,00602455216274,0,0,,,,,,,,,,,,
35607,wake up the dead!,160050,Count Emily,2024-01-10,9:23:51 PM,Souleance,GUILI - Art Of Tones Remix,Guili Guili,0,0,Electronic,First Word Records,5050580780354,0,0,0.796,0.858,0.858,-8.792,0.0,0.0912,0.0419,0.345,0.498,0.967,122.012,336318.0
35608,wake up the dead!,160050,Count Emily,2024-01-10,9:29:25 PM,NoSo,Honey Understand,Honey Understand,0,0,,WMG - PTKF,720841133407,0,0,0.702,0.59,0.59,-9.37,1.0,0.0312,0.0974,0.000531,0.0967,0.438,101.992,241920.0
35609,wake up the dead!,160050,Count Emily,2024-01-10,9:33:25 PM,Ebi Soda,Something to Do in the Future,Ugh,0,0,Jazz,BELIEVE - Tru Thoughts,5060609664138,0,0,0.565,0.42,0.42,-10.051,1.0,0.0359,0.867,0.959,0.0842,0.149,72.474,166034.0
35610,wake up the dead!,160050,Count Emily,2024-01-10,9:36:09 PM,Corinne Bailey Rae,New York Transit Queen,New York Transit Queen,0,0,R&B/Soul,Black Rainbows Music,197188979614,1,0,0.316,0.966,0.966,-2.902,1.0,0.326,0.0065,0.000118,0.331,0.209,163.526,109388.0
35611,wake up the dead!,160050,Count Emily,2024-01-10,9:37:56 PM,FAKE TYPE.,FAKE!FAKE!FAKE!,FAKE BOOK,0,0,Hip Hop/Rap,ORCHARD - Rambling RECORDS Inc.,4545933129696,0,0,,,,,,,,,,,,
35612,wake up the dead!,160050,Count Emily,2024-01-10,9:41:39 PM,Genesis Owusu,Tied Up!,Tied Up!,0,0,Hip Hop/Rap,ORCHARD - Ourness,197188874469,0,0,,,,,,,,,,,,
35613,wake up the dead!,160050,Count Emily,2024-01-10,9:49:52 PM,Melissa Carper,Ain't a Day Goes By,Ain't a Day Goes By,0,0,Country,Mae Music,196925546782,0,0,,,,,,,,,,,,
35614,wake up the dead!,160050,Count Emily,2024-01-10,9:53:21 PM,Honey & Soul,Lady King,Lady King,0,0,Folk,Joy of Music Productions,197547924958,0,0,,,,,,,,,,,,
35615,the bank,171943,cashmoneycaroline,2024-01-10,10:00:13 PM,Darksoft,So It Goes,Grayscale,1,0,Rock,Spirit Goth Records,,0,0,,,,,,,,,,,,
