,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB
32483,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:39:49 AM,Phi-Psonics,An Offering,An Offering,,,,MERLIN - Gondwana Records,5050580794726,0
32484,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:40:24 AM,Tunico,Galope,Galope,,,,BELIEVE - Far Out Recordings,3617052477406,0
32485,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:47:30 AM,Kokoroko,Ewà Inú,Could We Be More,,,Jazz,WMG - Brownswood Recordings,5060180325343,0
32486,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:54:09 AM,Charles Earland,Mason's Galaxy,Leaving This Planet,,,Jazz,UMG - Prestige,00888072394889,0
32487,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:02:17 AM,Sonmi451,Outer Shell,Nachtmuziek,,,,MERLIN - Astral Industries,8718723120159,0
32488,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:09:00 AM,Damien Jurado,Lou-Jean,The Horizon Just Laughed,,,,Secretly Canadian,656605036564,0
32489,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:12:46 AM,Stephen Sanchez,Evangeline,Evangeline,,,,Republic Records,00602455117748,0
32490,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:15:44 AM,Les Baxter,Atlantis - 1996 Digital Remaster,Ultra-Lounge/Mondo Exotica: Volume One,,,,UMG - EMI,00602448226051,0
32491,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:17:59 AM,Damien Jurado,The Last Great Washington State,The Horizon Just Laughed,,,,Secretly Canadian,656605036564,0
32492,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:24:15 AM,Dolly Parton,World On Fire,World On Fire,,,Rock,UMG - Big Machine,00843930095278,1
32493,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:28:35 AM,Tall Travis,Alley-Oh,Chicken Music,,,Folk,Travis Records,198015325147,0
32494,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:31:43 AM,Stromae,carmen,40 Hits Spring 2015,,,World,Mercury/ DEP,602537502295,0
32495,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:34:49 AM,Acusmatic Group,Fish Food,Pilot,,,,Irma Records,8056737604686,0
32496,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:41:33 AM,Donald Harrison,The Magic Touch,"""3D"" Vol.1",,,Jazz,fomp records,824837507927,0
32497,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:47:57 AM,Mitski,My Love Mine All Mine,The Land Is Inhospitable and So Are We,,,,MERLIN - Dead Oceans,656605165066,0
32498,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:50:15 AM,Rupert Cox,Fig Tree,Search Party,,,,Albert's Favourites,,0
32499,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:53:53 AM,Hot Chip,Fire of Mercy,Fire of Mercy,,,,Domino Recording Co,887829137069,0
32500,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:58:12 AM,Margaux,Eyes On You (Rock / Metal Remix),Eyes On You (Rock / Metal Remix),,,Electronic,WebMusic,5051813466113,0
32501,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:59:09 AM,Mason Jennings,Only Lovers Welcome,Underneath The Roses,,,Folk,Loosegroove Records Inc.,197187956135,0
32502,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:02:46 AM,Taj Mahal,Gee Baby Ain't I Good To You,Gee Baby Ain't I Good To You,,,Rock,Stony Plain Records,772532147620,0
32503,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:06:34 AM,Jack Johnson,Don't Look Now,Meet The Moonlight,,,Rock,Brushfire / Republic Records,00602445753949,1
32504,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:13:52 AM,Devendra Banhart,Twin,Twin,,,Rock,Mexican Summer,4526180658054,0
32505,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:17:02 AM,L'Impératrice,Heartquake,Heartquake,,,,MERLIN - microqlima,3663729252425,0
32506,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:20:41 AM,Echo Conscious,Arrived,Emotional Patterns,,,Electronic,Harmonious Discord,853566497452,0
32507,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:24:37 AM,The Gregory Brothers,Can't Hug Every Cat,Can't Hug Every Cat,,,,MERLIN - Gregory Residence,824833004062,0
32508,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:26:39 AM,Jeff Coffin,When Birds Sing,Between Dreaming and Joy,,,Jazz,Ear Up Records,658580496043,0
32509,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:30:49 AM,Isaiah J. Thompson,For Phineas,The Power of the Spirit,,,Jazz,ORCHARD - Blue Engine Records,197187730360,0
32510,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:38:08 AM,OK Go,This,This,,,Rock,ORCHARD - Paracadute,197189156120,1
32511,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:42:08 AM,Magic Sam,I Feel So Good (I Wanna Boogie),West Side Soul,,,Blues,ORCHARD - Cobra Records,192562656105,0
32512,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:46:52 AM,Planningtorock,Beulah Loves Dancing,Powerhouse,,,Electronic,DFA Records / Human Level,829732261738,0
32513,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:50:53 AM,Don Patterson,Little Angie,Legends Of Acid Jazz vol 2,,,Jazz,UMG - Prestige,00888072314368,0
32514,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:58:04 AM,Lael Neale,White T-Shirt,White T-Shirt,,,,Subpop Record Group,098787160765,0
32515,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:59:46 AM,Whimmers,Bingo,In the Midst of Something Worth Seeing,,,Folk,1287440 Records DK,197953115506,0
32516,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:02:56 AM,Grupo Celeste,Viento,Cumbia Beat Volume 1,,,World,Vampisoul,885686020944,0
32517,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:06:37 AM,NoSo,Honey Understand,Honey Understand,,,,WMG - PTKF,720841133407,0
32518,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:10:41 AM,Green Day,The American Dream Is Killing Me,The American Dream Is Killing Me,,,,Reprise,093624857518,1
32519,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:13:49 AM,The Legendary Pink Dots,I Love You in Your Tragic Beauty,Crushed Velvet Apocalypse,,,,Caciocavallo,887396897618,0
32520,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:18:20 AM,Joe McCarthy's New York Afro Bop Alliance Big Band,Dance of the Sugar Plum Fairy,The Pan American Nutcracker Suite,,,Jazz,Angelface Records,195269179977,0
32521,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:23:37 AM,Archie Pelago,Level Design - Sheet Music,Off-Peak OST,,,Electronic,Archie Pelago Music,5050580637733,0
32522,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:28:37 AM,Gilbert Castellanos,New Delhi,Espérame En El Cielo,,,Jazz,Z Note Media,755491251492,0
32523,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:34:34 AM,Sunanda Sharma,Jaani Tera Naa,Jaani Tera Naa,,,,Mad 4 Music,3614977951738,0
32524,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:37:34 AM,Danielle Ponder,Roll The Credits,Roll The Credits,,,R&B/Soul,Future Classic,196922425028,0
32525,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:41:45 AM,TEKE::TEKE,Gotoku Lemon,Gotoku Lemon,,,Rock,MERLIN - Kill Rock Stars,759656074605,0
32526,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:45:35 AM,Ebi Soda,Please Don't,Please Don't,,,,MERLIN - Tru Thoughts,5060609666118,0
32527,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:48:40 AM,Veronica Swift,I'm Always Chasing Rainbows,Veronica Swift,,,Jazz,ORCHARD - Mack Avenue Records,673203120266,0
32528,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:52:10 AM,Vagabon,Carpenter,Carpenter,,,,"Vagabon Music, LLC",075597905151,0
32529,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:55:31 AM,Genesis Owusu,Tied Up!,Tied Up!,,,Hip Hop/Rap,ORCHARD - Ourness,197188874469,0
32530,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:59:37 AM,Yaya Bey,exodus the north star,exodus the north star,,,R&B/Soul,Big Dada,5054429173383,0
32531,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:03:04 AM,Pachyman,Lovers,Switched-On,,,Reggae,ATO Records,880882588151,0
32532,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:06:39 AM,Buck Clayton,Way Down Yonder in New Orleans,If Dreams Come True,,,Jazz,Synergie OMP,888002911285,0
32533,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:13:19 AM,Yeah Yeah Yeahs,Wolf,Cool It Down,,,,MERLIN - Secretly Canadian,656605047065,1
32534,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:16:56 AM,Beach House,Become,Become,,,,Subpop Record Group,098787154566,0
32535,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:22:57 AM,Laura Gibson,The Carob Trees,The Carob Trees (Single),,,Rock,Barsuk Records,887845167156,0
32536,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:31:44 AM,Tanlines,Outer Banks,Outer Banks,,,,MERLIN - Merge Records,673855082820,0
32537,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:34:54 AM,Rupert Cox,Search Party,Search Party,,,,BELIEVE - Albert's Favourites,3617227709530,0
32538,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:37:30 AM,Winter,sunday,sunday,,,,MERLIN - Bar/None Records,032862910968,0
32539,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:41:52 AM,Guthrie Galileo,Black Porcelain,The Angels Will Never Wear White Again,,,,DISTROKID,198087431555,0
32540,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:45:41 AM,Lael Neale,I'll Be Your Star,I'll Be Your Star,,,,Subpop Record Group,098787161465,0
32541,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:49:27 AM,Chicago Soul Jazz Collective,Nothing good ever goes away,On the Way to be Free,,,Jazz,JMARQ Records,195729365841,0
32542,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:54:45 AM,Arooj Aftab,Baghon Main,Vulture Prince,,,World,MERLIN - New Amsterdam,798304485615,0
32543,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:02:12 AM,Skryabin,Коридори-нори,Стриптиз,,,Rock,ORCHARD - Kuzma Skryabin,190374664004,0
32544,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:06:09 AM,Junior Santos,Jari's,Conpambiche,,,,Junior Santos,195079389115,0
32545,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:09:37 AM,The National,Tropic Morning News,Tropic Morning News,,,,MERLIN - 4AD,5059638401678,0
32546,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:14:17 AM,ZZ Ward,Forget About Us,Forget About Us,,,,Dirty Shine Records,193436336352,0
32547,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:16:56 AM,Supershy,Take My Time,Change / Take My Time,,,Electronic,MERLIN - Beyond The Groove,5056167174363,0
32548,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:22:18 AM,The Allergies,Mash Up the Sound,Mash Up the Sound,,,,MERLIN - Jalapeno Records,3663729235824,0
32549,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:25:53 AM,Jack Black,Peaches,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),,,,MERLIN - Back Lot Music,660251010427,0
32550,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:27:24 AM,The Dead Shakers,My Life,Some Shapes Reappear,,,Rock,DISTROKID - Sticky Shed Tapes,197047345116,0
32551,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:29:38 AM,Soema Montenegro,Selva,CIRCULO RADIANTE,,,,Mais Um,5050580812970,0
32552,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:32:55 AM,Cat Power,She Belongs To Me - Live at the Royal Albert Hall,She Belongs To Me / Ballad Of A Thin Man,,,Folk,MERLIN - Domino Recording Co,887829138561,0
32553,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:37:43 AM,Bo Dollis,Handa Wanda,30 Years & Still Wild,,,,Aim Trading Group,752211501226,0
32554,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:40:56 AM,Lee Konitz,Dreams,Spirits,,,Jazz,UMG - Fantasy Records,00025218702423,0
32555,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:46:09 AM,Sufjan Stevens,Fourth of July - April Base Version,Fourth of July,,,,Asthmatic Kitty,729920165506,0
32556,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:49:54 AM,Pachyman,Trago Coqueto,Trago Coqueto,,,Reggae,ATO Records,880882588151,0
32557,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:52:59 AM,Al Green,Perfect Day,Perfect Day,,,R&B/Soul,Fat Possum,197189362736,1
32558,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:57:58 AM,Vince Clarke,The Lamentations of Jeremiah,The Lamentations of Jeremiah,,,Electronic,Mute (Artist Intelligence),5400863144593,0
32559,PB & Jam,160100,PBreezy,2024-01-01,9:02:22 AM,Astrocolor,Star Swing,Star Swing,,,Jazz,ORCHARD - Amelia Recordings,197187658701,0
32560,PB & Jam,160100,PBreezy,2024-01-01,9:05:55 AM,Levi Kz,In the Southern Skies,Do You Believe in Narwhals?,,,Rock,Levi Kz,198004816847,0
32561,PB & Jam,160100,PBreezy,2024-01-01,9:11:08 AM,Sunny War,No Reason,No Reason,,,Folk,"MERLIN - New West Records, LLC",607396653249,0
32562,PB & Jam,160100,PBreezy,2024-01-01,9:13:25 AM,Steven Bamidele,Kaleidoscope,Kaleidoscope,,,,BELIEVE - Tru Thoughts,5060609666217,0
32563,PB & Jam,160100,PBreezy,2024-01-01,9:17:06 AM,Yaeji,Done (Let’s Get It),Done (Let's Get It),,,Electronic,MERLIN - XL Recordings,5059638397964,0
32564,PB & Jam,160100,PBreezy,2024-01-01,9:20:01 AM,Einar Torfi Einarsson,Desiring-Machines: Partial-object 0.1667,Dutch Masters,,,Classical,Challenge Classics,608917263329,0
32565,PB & Jam,160100,PBreezy,2024-01-01,9:24:06 AM,Goran Bregovic,La Nuit,Ederlezi,,,,MERLIN - Wrasse Records,0731455835021,0
32566,PB & Jam,160100,PBreezy,2024-01-01,9:26:19 AM,Cowboy Junkies,Hard to Build. Easy to Break,Such Ferocious Beauty,,,Rock,Latent Recordings,628055661832,0
32567,PB & Jam,160100,PBreezy,2024-01-01,9:30:36 AM,Generationals,Dirt Diamond,Dirt Diamond,,,,MERLIN - Polyvinyl Records,644110047403,0
32568,PB & Jam,160100,PBreezy,2024-01-01,9:34:23 AM,Brittany Howard,What Now,What Now,,,,Brittany Howard PS/ Island,602458631135,0
32569,PB & Jam,160100,PBreezy,2024-01-01,9:37:56 AM,Sleater-Kinney,Say It Like You Mean It,Say It Like You Mean It,,,,Loma Vista Recordings,00888072542860,0
32570,PB & Jam,160100,PBreezy,2024-01-01,9:41:15 AM,Junior Boys,Waiting Game,Waiting Game,,,,MERLIN - City Slang,4250506844455,0
